title,ingredients,instructions,yield,time,notes,author,source_url,error
Caramelized Black Pepper Chicken,"['1/2 cup dark brown sugar', 'About 1/4 cup nam pla (fish sauce)', '1/4 cup water', '3 tablespoons rice vinegar', '1 teaspoon minced garlic', '1 teaspoon finely grated fresh ginger', '1 teaspoon coarsely ground pepper', '2 fresh Thai chiles, halved, or dried red chiles', '1 tablespoon canola oil', '1 shallot, thinly sliced', '1 pound skinless, boneless chicken thighs, cut into 1-inch pieces', '4 cilantro sprigs']","['In a small bowl, combine the sugar, fish sauce, water, rice vinegar, garlic, ginger, pepper and chiles.', 'Heat the oil in a large deep skillet. Add the shallot and cook over moderate heat until softened, about 4 minutes.', 'Add the fish sauce mixture and the chicken and simmer over high heat until the chicken is cooked through, about 10 minutes.', 'Transfer to a serving bowl, garnish with the cilantro and serve.']",4,"{'prep': '25 mins', 'cook': None, 'total': '35 mins'}","Because fish sauces vary in their saltiness, Phan advises adding the fish sauce to taste.",Charles Phan,https://www.foodandwine.com/recipes/caramelized-black-pepper-chicken,
Chocolate Babka,"['1 1/2 cups warm milk, 110 degrees', '2 (1/4 ounce each) packages active dry yeast', '1 3/4 cups plus a pinch of sugar', '3 whole large eggs, room temperature', '2 large egg yolks, room temperature', '6 cups all-purpose flour, plus more for work surface', '1 teaspoon salt', '1 3/4 cups (3 1/2 sticks) unsalted butter, cut into 1-inch pieces, room temperature, plus more for bowl and loaf pans', '2 1/4 pounds semisweet chocolate, very finely chopped', '2 1/2 tablespoons ground cinnamon', '1 tablespoon heavy cream', 'Streusel topping (below)']","['Pour warm milk into a small bowl. Sprinkle yeast and pinch of sugar over milk; let stand until foamy, about 5 minutes.', 'In a bowl, whisk together 3/4 cup sugar, 2 eggs, and egg yolks. Add egg mixture to yeast mixture, and whisk to combine.', 'In the bowl of an electric mixer fitted with the paddle attachment, combine flour and salt. Add egg mixture, and beat on low speed.']",Makes 3 loaves (but I made two full-sized and three miniature ones),"{'prep': None, 'cook': None, 'total': None}","When shaping the babka, twist dough evenly throughout the length of the roll a full 5 to 6 turns. The babka can be prepared up to step 8 and frozen for up to a month before baking. When ready to bake, remove from freezer; let stand at room temperature for about 5 hours, and bake.",deb,https://smittenkitchen.com/2007/09/mmm-bab-bee-bab-ka/,
Feta Salsa,"['1/2 pound feta (cow’s milk)', '2/3 cup sundried tomatoes in oil', '1/2 cup pitted Kalamata olives', '2 tablespoons fresh dill', '3 tablespoons flat-leaf parsley', '2 scallions', '1/4 cup olive oil']","['Crumble the feta into a bowl.', 'Chop the tomatoes and olives, dill and parsley and thinly slice the scallions.', 'Gently mix the ingredients together and drizzle with a few tablespoons of olive oil, or to taste.']",,"{'prep': None, 'cook': None, 'total': None}","Consider this recipe as more of a guideline. It is flexible, allowing for different herbs or additional ingredients like capers.",Deb,http://smittenkitchen.com/2008/12/feta-salsa/,
Spiced Beef Pho with Sesame Chile Oil,[],[],,"{'prep': None, 'cook': None, 'total': None}","The page content is unavailable, so details about the recipe could not be extracted.",,http://www.foodandwine.com/recipes/spiced-beef-pho-with-sesame-chile-oil,
Chicken Empanadas with Chorizo,"['4 1/2 cups all-purpose flour', '1 tablespoon salt', '2 teaspoons baking powder', '1 cup cold unsalted butter, cut into pieces', '1 large egg', '3/4 cup ice water', '1 tablespoon distilled white vinegar', '2 pounds chicken thighs and legs', 'Salt and pepper to taste', '2 tablespoons olive oil', '1/2 pound chorizo, casing removed and crumbled', '1 medium onion, finely chopped', '3 garlic cloves, minced', '1/2 cup dry white wine', '1 cup chicken broth', '1/2 cup pitted green olives, chopped', '1/4 cup chopped fresh cilantro']","['1. In a large bowl, whisk together flour, salt, and baking powder.', '2. Add butter and blend with fingertips or a pastry cutter until the mixture resembles coarse meal.', '3. In a small bowl, whisk together egg, ice water, and vinegar.', '4. Add the egg mixture to the flour mixture, stirring until the dough just comes together.', '5. Turn the dough out onto a lightly floured surface and knead gently with the heel of your hand until smooth.', '6. Divide dough into 2 pieces, wrap in plastic wrap, and chill for at least 1 hour.', '7. Season chicken with salt and pepper.', '8. In a large heavy skillet, heat olive oil over medium-high heat.', '9. Add chicken and brown on all sides, about 8 minutes.', '10. Transfer chicken to a plate.', '11. Add chorizo to the skillet and cook, stirring, until browned, about 3 minutes.', '12. Add onion and garlic to the skillet and cook until softened, about 5 minutes.', '13. Return chicken to the skillet and add wine, broth, and olives.', '14. Bring to a simmer, cover, and braise for 30 minutes.', '15. Remove chicken from the skillet and let cool.', '16. Remove skin and bones from chicken and shred meat.', '17. Return shredded chicken to the skillet and stir in cilantro.', '18. Preheat oven to 400°F (200°C).', '19. On a lightly floured surface, roll out dough to 1/8-inch thickness.', '20. Cut out 6-inch rounds.', '21. Place 2 tablespoons of filling in the center of each round.', '22. Fold dough over filling to form a half-moon shape.', '23. Crimp edges with a fork to seal.', '24. Arrange empanadas on a baking sheet and bake until golden brown, about 25 minutes.']",18 empanadas,"{'prep': '1 hour', 'cook': '1 hour 30 minutes', 'total': '2 hours 30 minutes'}","These empanadas can be frozen, either baked or unbaked, for a convenient freezer meal.",Deb,https://smittenkitchen.com/2007/04/chicken-revisited-and-enlightened/,
Chicken Tikka Masala,"['1 cup plain low-fat yogurt', '2 garlic cloves, minced', '1 tablespoon finely grated fresh ginger', '1 1/2 teaspoons ground cumin', '1 1/2 teaspoons ground coriander', '1/4 teaspoon ground cardamom', '1/4 teaspoon cayenne pepper', '1/4 teaspoon ground turmeric', 'Salt and freshly ground pepper', '2 1/2 pounds skinless, boneless chicken thighs, fat trimmed', '2 tablespoons plus 1 teaspoon vegetable oil', '1/4 cup blanched whole almonds', '1 large onion, finely chopped', '2 garlic cloves, minced', '1 teaspoon minced fresh ginger', '1 1/2 tablespoons garam masala', '1 1/2 teaspoons pure chile powder', '1/2 teaspoon cayenne pepper', '1 (35-ounce) can peeled tomatoes, finely chopped, juices reserved', '1 pinch of sugar', '1 cup heavy cream']","['In a large glass or stainless steel bowl, combine the yogurt, garlic, ginger, cumin, coriander, cardamom, cayenne and turmeric. Season with salt and pepper.', 'Using a sharp knife, make a few shallow slashes in each piece of chicken. Add the chicken to the marinade, turn to coat and refrigerate overnight.', 'Preheat the broiler and position a rack about 8 inches from the heat. Remove the chicken from the marinade; scrape off as much of the marinade as possible. Season the chicken with salt and pepper and spread the pieces on a baking sheet. Broil the chicken, turning once or twice, until just cooked through and browned in spots, about 12 minutes. Transfer to a cutting board and cut it into 2-inch pieces.', 'Meanwhile, in a small skillet, heat 1 teaspoon of the oil. Add the almonds and cook over moderate heat, stirring constantly, until golden, about 5 minutes. Transfer the almonds to a plate and let cool completely. In a food processor, pulse the almonds until finely ground.', 'In a large enameled cast-iron casserole, heat the remaining 2 tablespoons of oil until shimmering. Add the onion, garlic and ginger and cook over moderate heat, stirring occasionally, until tender and golden, about 8 minutes. Add the garam masala, chile powder and cayenne and cook, stirring, for 1 minute. Add the tomatoes with their juices and the sugar and season with salt and pepper. Cover partially and cook over moderate heat, stirring occasionally, until the sauce is slightly thickened, about 20 minutes. Add the cream and ground almonds and cook over low heat, stirring occasionally, until thickened, about 10 minutes longer. Stir in the chicken; simmer gently for 10 minutes, stirring frequently, and serve.']",4,"{'prep': '45 mins', 'cook': '12 mins', 'total': '9 hrs 30 mins'}","['The Chicken Tikka Masala can be refrigerated for up to 3 days. Reheat gently before serving.', 'Variation: the marinade and sauce here are also delicious with shrimp, lamb, and vegetables.', 'Serve with steamed basmati rice, rice pilaf, or warm naan.']",Grace Parisi,https://www.foodandwine.com/recipes/chicken-tikka-masala,
Arroz Con Pollo (Cuban Chicken with Rice),"['3 large garlic cloves', '2 tablespoons distilled white vinegar', '2 teaspoons dried oregano, crumbled', '4 chicken breast halves with bone, halved crosswise', '4 chicken drumsticks', '4 chicken thighs', '3 ounces Spanish chorizo (cured sausage), skin discarded and sausage cut into 1/4-inch-thick slices', '1 tablespoon olive oil', '2 medium onions, chopped', '1 green bell pepper, chopped', '3 large garlic cloves, chopped', '2 teaspoons ground cumin', '2 teaspoons dried oregano', '1 1/2 teaspoons paprika, preferably the hot stuff, plus more to taste', '2 Turkish bay leaves or 1 California', '1 lb. tomatoes, seeded and chopped', '1 12-ounce bottle beer (not dark)', '1 1/2 cups reduced-sodium chicken broth', '2 cups long-grain white rice (14 ounces)', '1/4 cup drained rinsed bottled pimiento or roasted red pepper strips']","['Mince and mash garlic to a paste with 2 teaspoons salt, then transfer to a large bowl. Stir in vinegar and oregano.', 'Remove skin and excess fat from chicken, then toss chicken with marinade until coated and marinate, covered and chilled, at least 1 hour.', 'Cook chorizo in olive oil in a 6- to 7-quart heavy pot (12 inches wide) over medium-high heat, stirring, until some fat is rendered, 2 to 3 minutes. Add onions, bell pepper, and garlic and cook, stirring until softened, about 5 minutes.', 'Add cumin, oregano, paprika, 1 1/4 teaspoons salt, and bay leaves and cook, stirring, 1 minute.', 'Add chicken with marinade to chorizo mixture and cook, uncovered, over medium heat, stirring frequently, 10 minutes.', 'Stir in tomatoes, beer, broth, and rice and bring to a boil, making sure rice is submerged.']",Serves 8,"{'prep': '1 hour (including marinating time)', 'cook': 'Approximately 30 minutes', 'total': '1 hour 30 minutes'}","The only thing I’d change next time is to add much more kick to this recipe. I’d swap the regular paprika with the spicy stuff, and add quite a bit more. In addition, I might finely dice some green pepper on top, instead of the pimentos or red pepper strips. I think it might be a prettier, more texture-contrasted garnish.",Deb,https://smittenkitchen.com/2007/10/arroz-con-pollo/,
Alain Ducasse's Gougères,"['1/2 cup water', '1/2 cup milk', '1 stick (4 ounces) unsalted butter, cut into tablespoons', 'Large pinch of coarse salt', '1 cup all-purpose flour', '4 large eggs', '3 1/2 ounces shredded Gruyère cheese (1 cup), plus more for sprinkling', 'Freshly ground black pepper']","['Preheat the oven to 400°F and line two baking sheets with parchment paper.', 'In a medium saucepan, combine the water, milk, butter, and salt and bring to a boil.', 'Add the flour all at once and stir vigorously with a wooden spoon until a smooth dough forms.', 'Reduce the heat to low and cook, stirring, until the dough pulls away from the sides of the pan and a film forms on the bottom, about 2 minutes.', 'Transfer the dough to a bowl and let cool slightly.', 'Beat in the eggs one at a time, beating thoroughly between each one, until the dough is smooth and shiny.', 'Stir in the Gruyère cheese and season with pepper.', 'Transfer the dough to a pastry bag fitted with a 1/2-inch round tip and pipe tablespoon-size mounds onto the prepared baking sheets, 2 inches apart.', 'Sprinkle with more Gruyère cheese.', 'Bake for about 22 minutes, until puffed and golden brown.', 'Let cool slightly before serving.']",28 gougères,"{'prep': '15 mins', 'cook': '30 mins', 'total': '45 mins'}",These gougères can be made ahead and frozen. Reheat in the oven before serving.,Alain Ducasse,http://www.foodandwine.com/recipes/alain-ducasses-gougeres,
Kale and White Bean Stew,"['2 tablespoons cooking oil, divided', '1/4 pound mild or hot sausages, casings removed', '2 onions, chopped', '3 garlic cloves, minced', '1 pound (about 6 cups) kale, tough stems removed, leaves washed well, and shredded', '3 1/3 cups canned diced tomatoes (two 15-ounce cans) with their juice', '1 1/4 teaspoons kosher salt', '1/2 teaspoon freshly ground black pepper', '4 cups canned cannellini beans (2 15.5-ounce cans), drained and rinsed']","['In a Dutch oven, heat 1 tablespoon of the oil over moderate heat. Add the sausage and cook.', 'Break the meat up with a fork, until it loses its pink color, about 2 minutes.', 'Add the remaining tablespoon of oil to the pan and then stir in the onions. Cook, stirring occasionally, until the onions start to soften, about 3 minutes.', 'Add the garlic and kale to the pan.', 'Cook, stirring, until the kale wilts, about 2 minutes.', 'Stir in the tomatoes, salt, and pepper; bring to a simmer. Reduce the heat and simmer, covered, until the kale is tender, about 15 minutes.', 'Stir the beans into the stew and cook until warmed through, about 5 minutes. If you like, mash some of the beans with a fork to thicken the sauce.']",4 servings,"{'prep': None, 'cook': None, 'total': '50 mins'}","['Shred kale leaves as fine as possible when making quick soups and stews, so that each bite will include tender greens instead of a chewy mouthful.']",Food & Wine Editors,http://www.foodandwine.com/recipes/kale-and-white-bean-stew,
Creamed Chard and Spring Onions,"['1 1-pound bunch Swiss chard, thick stems removed and leaves sliced into ribbons', '3 spring onions, ends trimmed, white and some green parts sliced into thin coins', '3 tablespoons butter', '3 tablespoons all-purpose flour', '1 1/4 cups milk', 'Salt and pepper']","['Wash your chard, but no need to dry it, just place it in a large pot over high heat. Cook, covered, with just the water clinging to leaves, stirring occasionally, until wilted, about 6 minutes.', 'Press or squeeze out the excess liquid any number of ways, either by wringing it out in cheesecloth (my favorite method), putting it in a mesh strainer and pressing the moisture out with a spatula or large spoon or letting it cool long enough to grab small handfuls and squeezing them to remove as much water as possible.', 'Wipe out the large pot so you can use it again. Heat milk or cream in a small saucepan over moderate heat, stirring, until warm. Keep warm.', 'Meanwhile, cook onion and garlic, if using, in butter in your wiped-out large pot over moderately low heat, stirring occasionally, until softened, about six minutes.', 'Whisk in flour and cook roux, whisking, about three minutes.', 'Add warm milk or cream in a slow stream, whisking constantly to prevent lumps, and simmer, whisking, until thickened, three to four minutes.', 'Stir in chard, then salt and pepper to taste and cook, stirring, until heated through.']",,"{'prep': None, 'cook': '20 minutes', 'total': None}","You can swap cream or half and half for all or a portion of the milk, if you want this to be extra lush. You could also stir in a few tablespoons of grated Parmesan.",Deb,https://smittenkitchen.com/2010/04/creamed-chard-and-spring-onions/,
